EDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2015-9-1,90,77,63,71,66,62,93,69,44,30.10,30.05,30.02,10,9,7,13,2,17,0.00,1,,73
2015-9-2,92,80,68,71,67,62,93,70,46,30.06,30.01,29.95,10,8,5,14,2,20,T,2,Rain-Thunderstorm,329
2015-9-3,91,78,65,70,67,63,93,70,47,29.97,29.92,29.86,10,8,2,26,3,35,0.22,2,Rain-Thunderstorm,178
2015-9-4,90,79,68,70,68,65,93,72,50,30.12,30.01,29.91,10,9,5,16,2,22,T,2,Thunderstorm,16
2015-9-5,85,77,68,70,67,66,93,74,55,30.23,30.17,30.12,10,7,2,14,4,18,0.00,5,,52
2015-9-6,86,75,64,67,62,55,93,67,40,30.22,30.18,30.14,10,9,4,10,3,14,0.00,1,,68
2015-9-7,89,76,62,67,64,59,93,72,50,30.16,30.11,30.03,10,10,10,12,4,17,0.00,1,,190
2015-9-8,91,78,65,69,67,64,93,69,44,30.09,30.02,29.95,10,10,10,15,4,19,0.00,0,,193
2015-9-9,92,80,68,71,69,66,97,74,50,29.97,29.90,29.82,10,10,10,12,5,15,T,2,,198
2015-9-10,81,74,67,71,70,67,97,83,69,29.84,29.80,29.72,10,7,1,12,3,13,0.53,7,Rain-Thunderstorm,77
2015-9-11,83,73,63,65,62,58,93,68,43,29.88,29.82,29.78,10,7,0,8,3,12,0.00,0,Fog,294
2015-9-12,74,68,62,67,64,57,93,83,73,29.81,29.74,29.65,10,5,1,9,3,13,0.75,6,Rain-Thunderstorm,209
2015-9-13,71,62,53,55,49,43,77,59,40,30.06,29.87,29.74,10,10,10,18,6,27,0.01,4,Rain,311
2015-9-14,76,63,49,53,47,44,86,61,35,30.27,30.18,30.06,10,10,10,9,3,13,0.00,0,,224
2015-9-15,81,66,50,58,53,48,96,66,36,30.39,30.34,30.27,10,10,9,9,1,14,0.00,0,,202
2015-9-16,83,68,53,59,55,51,93,64,34,30.37,30.31,30.24,10,10,8,8,2,11,0.00,0,,196
2015-9-17,83,69,54,60,57,52,93,67,40,30.23,30.15,30.07,10,10,6,10,2,13,0.00,0,,192
2015-9-18,84,70,56,61,58,55,100,70,40,30.07,30.01,29.94,10,10,8,10,2,14,0.00,0,,195
2015-9-19,85,72,58,62,60,56,100,69,37,29.98,29.92,29.86,10,9,6,14,4,17,0.00,0,,188
2015-9-20,79,70,60,61,56,51,93,67,40,30.07,29.98,29.86,10,10,9,13,5,17,0.00,1,,20
2015-9-21,64,61,58,57,55,48,100,80,60,30.20,30.13,30.04,10,6,2,13,7,15,1.94,8,Rain,26
2015-9-22,72,64,56,58,57,56,93,75,57,30.25,30.20,30.18,10,9,4,13,6,19,0.01,6,Rain,24
2015-9-23,76,65,53,58,54,52,93,68,43,30.27,30.22,30.18,10,9,2,15,4,19,0.00,1,,23
2015-9-24,78,65,51,55,52,49,100,70,40,30.27,30.24,30.20,10,10,6,15,5,22,0.00,0,,45
2015-9-25,69,65,60,63,57,51,93,83,72,30.28,30.25,30.22,10,9,3,16,8,20,0.05,7,Rain,28
2015-9-26,69,64,59,60,57,56,90,79,68,30.37,30.30,30.25,10,8,2,16,10,21,0.35,8,Rain,34
2015-9-27,69,64,59,62,58,55,87,80,73,30.36,30.30,30.24,10,8,3,17,9,21,0.01,8,Rain,36
2015-9-28,75,70,65,69,66,62,100,90,79,30.25,30.15,30.07,10,4,1,9,5,12,0.15,8,Rain,37
2015-9-29,74,72,70,72,70,68,100,97,93,30.08,29.92,29.75,10,3,0,13,4,18,2.85,8,Fog-Rain-Thunderstorm,53
2015-9-30,78,72,66,70,67,57,93,79,64,29.93,29.77,29.69,10,6,0,13,5,17,T,7,Fog-Rain,337
